n,100
0,mean,2.774756872653961
0,std_dev,0.33573850418946605
1,mean,5.0000665807724
1,std_dev,0.8060220184037105
2,mean,12.270587575435638
2,std_dev,2.416292958266967
3,mean,10.355590195655823
3,std_dev,3.7940809832695797
4,mean,7.137332534790039
4,std_dev,1.6054526353106415
5,mean,4.532072505950928
5,std_dev,5.761665169996102
6,mean,3.161932973861694
6,std_dev,0.9361917786459293
7,mean,1.0085723114013672
7,std_dev,3.6645797074273325
8,mean,3.9152518677711488
8,std_dev,2.559596791822422
9,mean,4.039390113353729
9,std_dev,0.8406319705836517
10,mean,0.015549676418304443
10,std_dev,0.02078261421643653
11,mean,0.006509697437286377
11,std_dev,0.01273666796101286
12,mean,3.9085069251060487
12,std_dev,2.7261348499562645
13,mean,10.646411550045013
13,std_dev,12.452144322961818
14,mean,5.339864475727081
14,std_dev,1.1538491519341592
15,mean,70.99354133367538
15,std_dev,19.837161005222878
all,mean,9.06912107437849
all,std_dev,17.538441274629232
sum,mean,145.10593719005584
sum,std_dev,41.994600755236114
